timestamp,photo_name,class_name,x_cord,y_cord,width,height
Fri Dec  9 17:31:09 2022,Pin Stamp1.jpg,Pin Stamp,765.0,46.5,130,87
Fri Dec  9 17:31:10 2022,Pin Stamp2.jpg,Pin Stamp,714.0,366.0,232,142
Fri Dec  9 17:31:10 2022,Pin Stamp3.jpg,Pin Stamp,713.5,347.0,233,138
Fri Dec  9 17:31:11 2022,Pin Stamp4.jpg,Pin Stamp,715.5,347.5,229,137
Fri Dec  9 17:31:11 2022,Pin Stamp5.jpg,Pin Stamp,716.0,327.5,230,137
Fri Dec  9 17:31:11 2022,Pin Stamp6.jpg,Pin Stamp,713.5,324.0,235,142
Fri Dec  9 17:31:12 2022,Pin Stamp7.jpg,Pin Stamp,600.0,230.0,354,150
Fri Dec  9 17:31:13 2022,Pin Stamp8.jpg,Pin Stamp,609.5,209.5,349,147
Fri Dec  9 17:31:13 2022,Pin Stamp9.jpg,Pin Stamp,601.0,192.0,358,146
Fri Dec  9 17:31:13 2022,Pin Stamp10.jpg,Pin Stamp,598.0,194.5,358,151
Fri Dec  9 17:31:14 2022,Pin Stamp11.jpg,Pin Stamp,591.0,256.5,342,147
Fri Dec  9 17:31:14 2022,Pin Stamp12.jpg,Pin Stamp,809.5,448.0,45,104
Fri Dec  9 17:31:14 2022,Pin Stamp13.jpg,Pin Stamp,569.0,270.0,354,154
Fri Dec  9 17:31:14 2022,Pin Stamp14.jpg,Pin Stamp,596.0,268.5,362,157
Fri Dec  9 17:31:15 2022,Pin Stamp15.jpg,Pin Stamp,652.5,309.5,357,159
Fri Dec  9 17:31:16 2022,Pin Stamp16.jpg,Pin Stamp,652.5,309.0,357,156
